,Jurisdiction,Takers,Passers,Pass Rate,Poverty Rate,Num Lawyers,Num Complaints,Complaints Per Lawyer,No HS,HS,Some Coll,Percent with BA,"Asian, Hispanic","Asian, Not Hispanic","Black, Hispanic","Black, Not Hispanic","Multiracial, Hispanic","Multiracial, Not Hispanic","Native, Hispanic","Native, Not Hispanic","Pacific, Hispanic","Pacific, Not Hispanic","White, Hispanic","White, Not Hispanic",Unemployment Rate,Year
0,Alabama,751,406,0.5406125166444741,0.16,13761,1344,0.09766732068890342,0.142,0.309,0.299,0.249,0.0003247912814149524,0.013512017998712787,0.002970933447257585,0.2643869039044405,0.0013764473150827837,0.014554400169649862,0.0013084389883905665,0.0055608141792002925,0.0005279919181377589,0.00048512606373781597,0.034643441617015436,0.6603486931169597,0.061,2015
1,Alaska,135,84,0.6222222222222222,0.131,3102,181,0.058349451966473245,0.073,0.28,0.355,0.292,0.0016772926841835502,0.05968422965214821,0.0038454341571095784,0.03279059739823023,0.006691543570287648,0.06454932759139685,0.007496969483307073,0.1449319184594399,0.000638645799717423,0.012139693938153052,0.04802182514393259,0.6175325221220939,0.065,2015
2,Arizona,1105,634,0.5737556561085972,0.128,18422,3127,0.1697426989469113,0.132,0.24,0.33899999999999997,0.289,0.0025725964159939653,0.031932700760621734,0.006655366960306755,0.041375022768283594,0.007704465043436907,0.019284809411163867,0.013028875747546444,0.040319775052286524,0.0008164369729984263,0.0017996461325544579,0.2778906349290947,0.5566196698057126,0.061,2015
3,Arkansas,330,213,0.6454545454545455,0.159,9783,657,0.0671573137074517,0.138,0.341,0.295,0.226,0.0005275267557809679,0.015012518266999054,0.002260541132983753,0.15428126074529355,0.001936167583598384,0.01781569672483452,0.0022138662640763347,0.007321238609988825,0.0003519083641365082,0.002692031827559529,0.06445094236224534,0.7311363013625032,0.05,2015
4,Colorado,1159,798,0.6885245901639344,0.091,25991,3505,0.1348543726674618,0.086,0.214,0.298,0.401,0.0016432983899271698,0.030893532720938505,0.005142164482849025,0.039708488369127715,0.007671967039364124,0.021508367025200606,0.009402961826565514,0.00637523453740976,0.0005641556937619792,0.0012840733985821438,0.18807354682207886,0.6877322096941946,0.039,2015
5,Delaware,188,124,0.6595744680851063,0.07400000000000001,4221,174,0.0412224591329069,0.102,0.316,0.268,0.314,0.0006225750383531722,0.038178936140374736,0.01033729543204158,0.21462902602066183,0.0034050392456005407,0.021815624296150235,0.0032637380850186774,0.0031011886296124737,0.0005662670570686703,0.00035272169408404974,0.07042216112156999,0.633305427239464,0.049,2015
6,Florida,4601,2706,0.5881330145620517,0.13699999999999998,85356,7558,0.08854679225830639,0.12,0.28800000000000003,0.3,0.292,0.0010695707396718756,0.026619272699814272,0.012477187191753078,0.15591540657889671,0.004576664247617477,0.015836673504859854,0.002352511316469133,0.0025493044153206273,0.00047063091857595227,0.0006209101846589264,0.22551920076171844,0.5519926674406437,0.055,2015
7,Georgia,1825,1170,0.6410958904109589,0.14800000000000002,37561,3219,0.08570059370091318,0.133,0.27899999999999997,0.282,0.307,0.0008356874088945003,0.0384066449429859,0.00851279178444413,0.30999601412671307,0.0028945476652774238,0.017170006387025448,0.0027749812913502423,0.0022584977845834437,0.0005368205974840759,0.0006057898616557123,0.07669814461872229,0.5393100735308638,0.06,2015
8,Hawaii,292,193,0.660958904109589,0.092,4834,292,0.06040546131568059,0.08199999999999999,0.27699999999999997,0.317,0.325,0.01169577483805093,0.36531153572443203,0.0021405686993161994,0.018781310388087075,0.04327197598962626,0.19204642305625955,0.0018023250907843033,0.002161664974276609,0.007238835148081786,0.09491214104688155,0.036037360096536554,0.22460008494766717,0.036000000000000004,2015
9,Idaho,173,119,0.6878612716763006,0.115,4971,337,0.06779320056326694,0.094,0.27699999999999997,0.359,0.26899999999999996,0.0009442424528741856,0.01354827416827624,0.0014487671246151712,0.0068156256075646,0.004309355389480327,0.018677103604413894,0.006294747795202958,0.01120492968452369,0.00038581298427251844,0.0016141155464462506,0.10868600092425527,0.8260710247180749,0.040999999999999995,2015
10,Illinois,3157,2325,0.7364586632879315,0.10300000000000001,82495,5648,0.06846475543972362,0.111,0.261,0.287,0.341,0.0012114554317305048,0.05342947728163337,0.005193596068345746,0.1417271428774734,0.003586695080680614,0.015201984802292387,0.004276644534417489,0.0015058815624617726,0.00035656202044449635,0.0002764619373348276,0.15266274839871768,0.6205713500044677,0.06,2015
11,Indiana,765,546,0.7137254901960784,0.11599999999999999,18495,1715,0.09272776426061098,0.114,0.335,0.29100000000000004,0.259,0.00046970365996602516,0.020942669823446506,0.0032233111021057674,0.09293580222328417,0.00214090443981937,0.01722256841345786,0.0016960175969391786,0.0022609028297527005,0.0002702611909469462,0.00033835611587758774,0.058332382526418564,0.8001671200779853,0.048,2015
12,Iowa,319,261,0.8181818181818182,0.08900000000000001,9500,917,0.09652631578947368,0.08,0.311,0.326,0.282,0.00044409412488465087,0.023754549882087563,0.0015898954167948324,0.03419108223110838,0.0019506818414846713,0.015634292012714036,0.002118578898800369,0.0029375576745616734,0.00020826925048702963,0.0008593509689326361,0.05082859120270686,0.8654830564954373,0.038,2015
13,Kansas,174,136,0.7816091954022989,0.075,11141,801,0.07189659815097388,0.09300000000000001,0.26,0.318,0.32899999999999996,0.0007531769388290384,0.028817010317252152,0.003712601980535653,0.0582084426631594,0.004018547884487202,0.02425979138614464,0.003816417332213594,0.007917811242377564,0.00029907071509870537,0.0007944280719461012,0.1025809115194133,0.7648217899485427,0.042,2015
14,Kentucky,570,402,0.7052631578947368,0.157,18140,1168,0.06438809261300993,0.14300000000000002,0.33,0.29100000000000004,0.23600000000000002,0.0003615021861844709,0.014191898013003234,0.0021376076146820498,0.08009465030989775,0.0013305539840252185,0.016792680303734136,0.0008502079541326026,0.0020612402778505804,0.0002431102202090567,0.0005716253319041946,0.02977173848208847,0.8515931853222882,0.053,2015
15,Maine,154,94,0.6103896103896104,0.11599999999999999,5302,220,0.04149377593360996,0.077,0.318,0.29600000000000004,0.309,0.0002236004643662169,0.011566995065732513,0.0007423234271551847,0.014102639388915742,0.0010487388783237041,0.015591803424324417,0.0004886084221335851,0.006448276017833831,5.797049076161179e-05,0.0002815709551278287,0.01295075820884735,0.936496715256478,0.044000000000000004,2015
16,Maryland,1923,1111,0.577743109724389,0.08,38938,2144,0.05506189326621809,0.1,0.248,0.256,0.396,0.001141246218817882,0.06249622007089727,0.010003404859894526,0.29540534372545135,0.004138959716731695,0.022996838057980185,0.0032635197831047446,0.00242216186216098,0.0005606825223763449,0.0004901795353552432,0.07585052163856962,0.5212309220086602,0.051,2015
17,Massachusetts,2520,1703,0.6757936507936508,0.087,59217,734,0.012395089248019995,0.096,0.242,0.233,0.429,0.0009381492643461479,0.06395207814633244,0.01552788631762137,0.06937123687930402,0.005720002331390704,0.01712041456365609,0.002956627301880361,0.001789018561049173,0.0006036005856736042,0.00040357786050159046,0.08635020785290103,0.7352672003353434,0.048,2015
18,Michigan,1347,816,0.6057906458797327,0.105,41608,2014,0.048404153047490864,0.095,0.29,0.32899999999999996,0.28600000000000003,0.0003733494164905054,0.029860401753372907,0.0030814416241303744,0.13875659943927107,0.0023619284282724584,0.020750595440968654,0.0015485744405674146,0.005644745142203537,0.00012898074501735098,0.00025524292632239247,0.041356502879915505,0.7558816377634678,0.054000000000000006,2015
19,Minnesota,904,661,0.7311946902654868,0.079,28858,1210,0.04192944764016911,0.07,0.249,0.326,0.354,0.0006264100610868378,0.047259300930749766,0.0021025050565191884,0.059351167596248984,0.0025683906989233188,0.021168610471445623,0.0028113662962930535,0.01068290006333418,0.00020831691606324078,0.0004425366360502821,0.04350394160413511,0.8092745536691505,0.037000000000000005,2015
20,Mississippi,286,215,0.7517482517482518,0.196,9116,468,0.051338306274681875,0.161,0.303,0.318,0.218,0.0002533067913324238,0.010141640993002776,0.0032635417911032094,0.37286324679075017,0.0012471260387000576,0.010846349186590734,0.0010888511215266937,0.004890126087889091,0.0002349027311959862,0.00033495389448316546,0.024310090343858115,0.5705258642295675,0.064,2015
21,Missouri,1070,883,0.8252336448598131,0.124,26136,1995,0.07633149678604224,0.10400000000000001,0.307,0.302,0.28600000000000003,0.00039593315383485306,0.019173112383748164,0.002054603200536519,0.11608845713216591,0.0018961640599420397,0.019769482579270626,0.001248737592502436,0.004238988150333381,0.00022695336355425436,0.001160294953729842,0.03407989680703957,0.7996673766233424,0.05,2015
22,Montana,178,118,0.6629213483146067,0.10300000000000001,3877,274,0.070673200928553,0.068,0.292,0.327,0.312,0.00036682112617967443,0.00796040660860283,0.0005317935903345545,0.004990902253814988,0.002716223100997113,0.023301875348746937,0.005264562459060142,0.061403721584706084,0.00014556393896018825,0.0006880322181518232,0.02714767461607511,0.8654824231543705,0.042,2015
23,Nebraska,218,166,0.7614678899082569,0.105,6900,329,0.04768115942028985,0.08900000000000001,0.263,0.335,0.313,0.0008063334984774837,0.022656120705745377,0.0027499937872664873,0.046946058139553326,0.003211057925412301,0.017449056907052746,0.006097467478322847,0.008304441919401547,0.000562582847462323,0.0005964224172344929,0.09031146680258893,0.8003089975714821,0.03,2015
24,New Jersey,3951,2584,0.654011642622121,0.08199999999999999,75526,3600,0.047665704525593836,0.105,0.275,0.23199999999999998,0.389,0.0016300274167115757,0.09202229286614075,0.01945692290291701,0.1293128771940389,0.006427641836911782,0.01463652982217196,0.00445119835488454,0.0014370853959579605,0.0006637385938958377,0.00033051610919277954,0.1625329599888317,0.5670982095183452,0.057999999999999996,2015
25,New Mexico,260,195,0.75,0.166,6900,644,0.09333333333333334,0.147,0.264,0.317,0.271,0.002317053967111331,0.01479975742967351,0.006802786208335746,0.017983612622655246,0.009935906486937434,0.014448442079155082,0.01988856506824564,0.08766418847350609,0.0009070062523602504,0.0006289214858054718,0.44260517084503787,0.38201858908117636,0.065,2015
26,New York,14668,8209,0.5596536678483774,0.111,229394,11649,0.05078162462836866,0.135,0.261,0.244,0.359,0.001923207446007986,0.0830815949759716,0.030351724114772542,0.1454132062076252,0.007647802308113503,0.01663208115569097,0.006700698958710364,0.00291136974802828,0.0008882877989379214,0.00043200937629771983,0.13959397732833517,0.5644240405815087,0.053,2015
27,North Carolina,1802,956,0.5305216426193119,0.131,27938,1331,0.04764120552652302,0.126,0.259,0.31,0.305,0.0009753135228256659,0.02711160262234134,0.0076935529822324275,0.21412647535608811,0.0031895064877688066,0.017993457903119788,0.004324813694582126,0.011368423487032936,0.0005589312063045287,0.0006254207933573413,0.07320443723791689,0.63882806470643,0.057,2015
28,North Dakota,104,67,0.6442307692307693,0.09699999999999999,2997,189,0.06306306306306306,0.075,0.268,0.363,0.295,0.00036203727525176843,0.013838311235356057,0.0010927425450822606,0.024867849763813777,0.0018473184044897927,0.01819734612089658,0.004085849249269958,0.05101144992613379,0.00010211307763511417,0.0005357621216180017,0.02747770089090345,0.8565815193895494,0.027999999999999997,2015
29,Ohio,1456,1041,0.7149725274725275,0.11900000000000001,44157,4122,0.09334873293022623,0.099,0.33299999999999996,0.29100000000000004,0.278,0.000308929774813521,0.021199520345422912,0.003344945959669386,0.12416911103369935,0.0018485001153860025,0.01957068832291072,0.0008515581672416169,0.0019017816786653476,0.00017895374807392313,0.00035368973104172685,0.02926741637871812,0.7970049047443574,0.049,2015
30,Oklahoma,414,282,0.6811594202898551,0.134,18108,1310,0.07234371548486856,0.122,0.313,0.313,0.252,0.0006696508504923903,0.02161529607366671,0.0032935157948586775,0.07406829517841156,0.00545389435989257,0.05340887581532165,0.009136462463230592,0.0829942447883361,0.00036014835656733595,0.0014633584857398645,0.08227394807520143,0.6652623097582812,0.044000000000000004,2015
31,Oregon,648,398,0.6141975308641975,0.09699999999999999,15178,2043,0.13460271445513242,0.096,0.23,0.345,0.32899999999999996,0.0012505627781518565,0.042653603573093425,0.002461531872168678,0.018441692199197567,0.005901202054289664,0.03061164522465307,0.006736404674345683,0.01120177539075729,0.0004681517369425508,0.003810207301573388,0.10902506902747951,0.7674381541673473,0.055999999999999994,2015
32,Pennsylvania,2445,1620,0.6625766871165644,0.11800000000000001,64750,4018,0.06205405405405406,0.098,0.35100000000000003,0.243,0.308,0.0006973110154178086,0.03293146109301762,0.009779953203899686,0.10740623298275628,0.0033511601956882323,0.015600446967365844,0.0021667091910363115,0.0014222328876435236,0.0004058717733037587,0.0002889362749246646,0.051534373639500454,0.7744153107754458,0.053,2015
33,Rhode Island,214,135,0.6308411214953271,0.08900000000000001,5576,357,0.06402439024390244,0.12,0.282,0.265,0.33299999999999996,0.0013266228877957323,0.033901322361786446,0.021394516436014827,0.05769531231505636,0.0066141762107446034,0.019752572048122037,0.005746805357624767,0.004301818543366176,0.001148603542395591,0.0006221207974887909,0.10949704800367402,0.7379990814959306,0.06,2015
34,South Carolina,681,467,0.6857562408223201,0.128,12313,1542,0.12523349305611955,0.129,0.295,0.302,0.27399999999999997,0.0004969400675151648,0.015306817052873524,0.004871893306906179,0.2713703648737985,0.0018581592816589254,0.015822972408889892,0.0017050502275376344,0.003678705658166559,0.00037531137966180273,0.0005797293424405624,0.04498237712742884,0.6389516792731225,0.06,2015
35,Tennessee,1065,651,0.6112676056338028,0.12,21980,1204,0.05477707006369427,0.13,0.324,0.28,0.266,0.000529192844366023,0.01696557667303377,0.003071230145785953,0.16782665293111845,0.0017966461189743248,0.0161986415158462,0.0017608406398257062,0.0026992172861570857,0.00042010750746832503,0.0004974837547810176,0.043863684292773514,0.7443707262898697,0.055999999999999994,2015
36,Texas,4320,2791,0.6460648148148148,0.13699999999999998,98671,7760,0.07864519463672204,0.168,0.25,0.289,0.293,0.0017113179529011516,0.04560900785932144,0.00754887430881102,0.11761020800248824,0.005026782617407114,0.013824216448630465,0.006779454690591093,0.003244259858807714,0.000553438988256886,0.0008107009319529599,0.3671009261866812,0.43018081215415066,0.044000000000000004,2015
37,Utah,414,314,0.7584541062801933,0.069,9148,823,0.089965019676432,0.08,0.22899999999999998,0.358,0.33299999999999996,0.0011824933304492033,0.022642097902801462,0.002796935444114111,0.010389910910563462,0.004619638578258019,0.019206629474803266,0.005744449307221895,0.009611195790511548,0.0007689895651503186,0.009272142824804189,0.12115492641276261,0.7926105904585599,0.036000000000000004,2015
38,Vermont,101,51,0.504950495049505,0.09699999999999999,2700,208,0.07703703703703704,0.07400000000000001,0.292,0.261,0.373,0.00024151653188658,0.01666943904186713,0.0008333120073702529,0.011699956495035316,0.0012523671819019346,0.017018118538233186,0.0005710026614801925,0.003211690039922203,6.237844201044119e-05,0.00027990326543146687,0.014954831610195516,0.9332054841846658,0.036000000000000004,2015
39,Virginia,1624,1097,0.6754926108374384,0.098,31247,3346,0.10708227989887029,0.107,0.24100000000000002,0.27,0.382,0.0011304971365044497,0.06305502350687794,0.00684230013413367,0.19063580507947564,0.0036677474536607395,0.02483529877748927,0.002646078455759807,0.0026246716021224117,0.00039333598666699835,0.0007124057380891788,0.07473311991856307,0.6287237162106568,0.045,2015
40,Washington,1176,856,0.7278911564625851,0.086,31126,2242,0.07202981430315492,0.08900000000000001,0.222,0.337,0.353,0.001966314132572232,0.08263349292128308,0.0034074774936879307,0.037456986005890563,0.006453966179564432,0.03871653821504854,0.006198789249680715,0.013017792448745104,0.0006897315156211416,0.006570247570479714,0.1037510589912387,0.6991376052761878,0.055999999999999994,2015
41,West Virginia,273,185,0.6776556776556777,0.159,6669,551,0.08262108262108261,0.135,0.405,0.257,0.203,0.00013626123069406367,0.008040498357807877,0.0009179989685404847,0.0346195814445862,0.0007735946364105209,0.015605982465188241,0.00034038164002062917,0.0020623761569989957,6.243044434190169e-05,0.0002079205233299856,0.012873157623300128,0.924359816508781,0.067,2015
42,Wisconsin,214,145,0.677570093457944,0.086,25169,1979,0.0786284715324407,0.081,0.309,0.315,0.295,0.00048238655497193165,0.027377823757928393,0.002875051640878051,0.06339781355126073,0.002411759192076293,0.0157448263651418,0.0025131315375615786,0.008786066162813707,0.00017618652511569292,0.00033918075869562956,0.05676833988897645,0.8191274340645798,0.045,2015
43,Wyoming,81,60,0.7407407407407407,0.095,2879,129,0.04480722473080931,0.071,0.287,0.373,0.26899999999999996,0.0007069515191773407,0.008896660422497451,0.0014719618587702118,0.01115070874451216,0.0035501261071731673,0.016492120222740957,0.005913461620558287,0.0211180421199666,0.0002971245515383026,0.0007189048057334793,0.08538403348286326,0.8442999045444688,0.043,2015
44,Alabama,757,398,0.5257595772787318,0.15,13754,1149,0.0835393340119238,0.142,0.309,0.299,0.249,0.00032877388314031487,0.013956338252604849,0.0030066669750849436,0.2646253488981757,0.0014357898849085796,0.014968361425098052,0.0013438812384021876,0.005566744285266345,0.0005216381122745334,0.0004891513871112003,0.03559188037483101,0.6581654252831023,0.057999999999999996,2016
45,Alaska,105,64,0.6095238095238096,0.14400000000000002,3087,178,0.05766115970197603,0.073,0.28,0.355,0.292,0.001637319004768995,0.0613522582594247,0.0038896441595994906,0.0332791156858937,0.006921516583586889,0.0649977881357761,0.007942480740596879,0.14481371787402084,0.0006608618717766125,0.012621113053235796,0.04903999697891716,0.6128441876524029,0.069,2016
46,Arizona,988,505,0.5111336032388664,0.132,18555,3569,0.19234707625976827,0.132,0.24,0.33899999999999997,0.289,0.0025882169209597594,0.03293108038643022,0.0067387285422194155,0.042380197179916874,0.007907280028214662,0.019690042114532163,0.013230233024524165,0.04008415414794718,0.0008308514880698544,0.0018136967891991323,0.2796065218744309,0.5521989975035556,0.054000000000000006,2016
47,Arkansas,357,204,0.5714285714285714,0.14800000000000002,8714,725,0.08319944916226761,0.138,0.341,0.295,0.226,0.0005548647153533977,0.015576681367181308,0.002362941057246386,0.15450590952661578,0.00203249721229813,0.01833662327863172,0.002321468347961382,0.007402544150040235,0.00035653151691785525,0.0029465691032329313,0.06574762251004877,0.7278557472144721,0.04,2016
48,Colorado,1171,810,0.6917164816396243,0.077,26305,3549,0.13491731609960084,0.086,0.214,0.298,0.401,0.0016545665766719653,0.031558984440936126,0.005179253739022587,0.039978408492900165,0.007758319545278528,0.021955277056406007,0.009467045420695893,0.006387186632040822,0.0005686726368266984,0.0013036143208017743,0.188905287121009,0.6852833840174104,0.033,2016
49,Delaware,198,130,0.6565656565656566,0.092,3541,153,0.043208133295679185,0.102,0.316,0.268,0.314,0.0006354585892819318,0.03879775028690481,0.010490862779936369,0.21615919554947144,0.0034396962444713523,0.022241050624867614,0.003281621968530573,0.0030982558084392694,0.000611220533637679,0.00035724786362616065,0.07164031568486734,0.6292473240659654,0.045,2016
50,Florida,4637,2515,0.5423765365538064,0.13699999999999998,86977,6666,0.07664095105602631,0.12,0.28800000000000003,0.3,0.292,0.001093459390669512,0.027157087569457592,0.012856152312392519,0.1556029096886469,0.004781240932813033,0.016151520677467463,0.002393434159603448,0.002536835488743602,0.00047983171398013056,0.0006307523956293255,0.22967779768546567,0.5466389779851308,0.048,2016
51,Georgia,1975,1228,0.6217721518987341,0.133,38560,3105,0.08052385892116183,0.133,0.27899999999999997,0.282,0.307,0.0008633367275325207,0.03989763043480371,0.008695006450272717,0.3115246813934142,0.003006050346101541,0.01762783333931929,0.0028572427001258994,0.002262303324923873,0.0005431042265060101,0.0006061023753893703,0.07804529071849922,0.5340714179631116,0.054000000000000006,2016
52,Hawaii,283,200,0.7067137809187279,0.10300000000000001,4858,336,0.069164265129683,0.08199999999999999,0.27699999999999997,0.317,0.325,0.011715102493136885,0.3649376312993018,0.002178543934086087,0.01935191470194927,0.04373269335978408,0.19219801073020448,0.0017673525227328607,0.0021253062045071343,0.007271153066178,0.09437928660041371,0.03742332190823637,0.22291968317946928,0.03,2016
53,Idaho,202,145,0.7178217821782178,0.11699999999999999,5099,373,0.07315159835261816,0.094,0.27699999999999997,0.359,0.26899999999999996,0.0009890750008915942,0.014151975178021612,0.0015073883427049774,0.007099466232361297,0.0043735660195675175,0.01925962029981336,0.006339828100666913,0.011179995007073312,0.0003928957785993652,0.001663714499696858,0.11037221079660957,0.8226702647439936,0.038,2016
54,Illinois,2891,1993,0.6893808370805949,0.109,69572,5401,0.07763180589892485,0.111,0.261,0.287,0.341,0.0012227266476643277,0.05449042773358693,0.00524338820081265,0.1413217256981714,0.0036642019473926463,0.015604116741846884,0.0042888252565592665,0.0015093763306297783,0.0003601256017010845,0.00028118968900420395,0.15451689310431624,0.6174970030483147,0.057999999999999996,2016
55,Indiana,766,467,0.6096605744125326,0.114,18590,1437,0.07729962345346961,0.114,0.335,0.29100000000000004,0.259,0.0004844517224414196,0.0221257572761212,0.003301627420148368,0.09360997023953078,0.0021975176295810383,0.017758305920259308,0.0017276868832058344,0.002267004948823569,0.000275839033001804,0.00034894391333288317,0.05969382771727072,0.796209067296283,0.044000000000000004,2016
56,Iowa,260,178,0.6846153846153846,0.091,9600,906,0.094375,0.08,0.311,0.326,0.282,0.0004502820010787607,0.024571665254612116,0.0016283602294330502,0.035501701970159394,0.001997846949467182,0.016040577753322745,0.0021798758435202983,0.002972180556056756,0.0002091735536926158,0.0009641144406076444,0.05220684486124448,0.8612773765868049,0.036000000000000004,2016
